resource,case:concept:name,case:creator,concept:name,org:resource,time:timestamp
Marek Šrom,,Marek Šrom,Closed,Lawrin Novitsky,9/14/2018 13:51
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,9/13/2018 22:04
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,9/13/2018 21:43
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,9/13/2018 13:49
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,9/12/2018 9:47
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,9/7/2018 18:01
Chris Calender,,Chris Calender,Closed,Lawrin Novitsky,9/7/2018 10:16
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,8/26/2018 16:01
Peter,,Peter,Closed,Lawrin Novitsky,8/24/2018 14:26
Matthew Goheen,,Matthew Goheen,Closed,Lawrin Novitsky,8/9/2018 3:27
Michal Schorm,,Michal Schorm,Closed,Lawrin Novitsky,8/3/2018 18:27
Patrick Dudziak,,Patrick Dudziak,Closed,Lawrin Novitsky,8/3/2018 2:28
Nelson Valeriano,,Nelson Valeriano,Closed,Lawrin Novitsky,8/2/2018 18:59
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,7/26/2018 23:19
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,7/24/2018 17:39
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,7/24/2018 10:23
Martin Lane,,Martin Lane,Closed,Lawrin Novitsky,7/19/2018 22:35
Nazar Mishturak,,Nazar Mishturak,Closed,Lawrin Novitsky,7/17/2018 12:39
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,7/17/2018 10:49
Johannes Wezel,,Johannes Wezel,Open,Lawrin Novitsky,7/17/2018 10:31
Ph. Baumgartner,,Ph. Baumgartner,Open,Lawrin Novitsky,7/17/2018 10:22
Ph. Baumgartner,There was some work done on this issue in the past. But the assignee is not working on it anymore.,Ph. Baumgartner,Stalled,Lawrin Novitsky,7/17/2018 10:20
Martin Lane,,Martin Lane,Closed,Lawrin Novitsky,7/15/2018 21:33
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,7/11/2018 15:18
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,7/10/2018 21:14
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,7/6/2018 7:49
vinod vasudevan,,vinod vasudevan,Closed,Lawrin Novitsky,7/5/2018 12:37
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,7/4/2018 12:50
Juan Telleria,,Juan Telleria,Closed,Lawrin Novitsky,7/1/2018 23:42
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,6/26/2018 23:10
Anders Karlsson,,Anders Karlsson,Closed,Lawrin Novitsky,6/26/2018 14:35
Vincent Tap,,Vincent Tap,Closed,Lawrin Novitsky,6/26/2018 14:26
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,6/26/2018 13:59
Adrian Matlack,,Adrian Matlack,Closed,Lawrin Novitsky,6/26/2018 11:23
Faiz Akhtar,,Faiz Akhtar,Open,Lawrin Novitsky,6/4/2018 18:29
Faiz Akhtar,,Faiz Akhtar,Open,Lawrin Novitsky,6/4/2018 18:28
Faiz Akhtar,,Faiz Akhtar,Closed,Lawrin Novitsky,6/4/2018 17:32
David Thompson,,David Thompson,Closed,Lawrin Novitsky,6/4/2018 17:23
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,6/4/2018 17:21
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,6/4/2018 17:18
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,6/4/2018 17:12
Patrick Dudziak,,Patrick Dudziak,Closed,Lawrin Novitsky,6/4/2018 17:09
Marek Šrom,,Marek Šrom,Closed,Lawrin Novitsky,5/30/2018 22:59
David,,David,Closed,Lawrin Novitsky,5/21/2018 15:19
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,5/18/2018 10:48
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,5/16/2018 4:28
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,5/7/2018 6:59
Patrick Dudziak,,Patrick Dudziak,Closed,Lawrin Novitsky,4/20/2018 9:23
Richard Ekefjärd,,Richard Ekefjärd,Closed,Lawrin Novitsky,4/10/2018 11:06
Shiya,,Shiya,Closed,Lawrin Novitsky,3/29/2018 21:41
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,3/27/2018 18:17
Rahul Dhuvad,,Rahul Dhuvad,Closed,Lawrin Novitsky,2/20/2018 4:47
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,2/15/2018 15:36
Diego Dupin,,Diego Dupin,Closed,Diego Dupin,2/15/2018 15:33
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,2/15/2018 15:33
Ingo Korndoerfer,,Ingo Korndoerfer,Closed,Lawrin Novitsky,2/11/2018 17:48
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,2/11/2018 17:29
Michal Schorm,,Michal Schorm,Closed,Lawrin Novitsky,1/28/2018 14:30
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,1/23/2018 14:38
Chandranana,,Chandranana,Closed,Lawrin Novitsky,1/18/2018 14:41
Adam Majer,,Adam Majer,Closed,Lawrin Novitsky,1/15/2018 8:54
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,1/9/2018 13:49
Eduardo Jimenez,,Eduardo Jimenez,Confirmed,Lawrin Novitsky,11/23/2017 17:54
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,11/14/2017 10:41
pakorn,,pakorn,Closed,Lawrin Novitsky,10/26/2017 12:24
haijun,,haijun,Closed,Lawrin Novitsky,10/4/2017 22:25
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,10/3/2017 21:49
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,9/30/2017 0:04
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,9/30/2017 0:03
Michael M,,Michael M,Closed,Lawrin Novitsky,9/14/2017 11:05
Augusto Caringi,,Augusto Caringi,Closed,Lawrin Novitsky,9/6/2017 11:53
Brad House,,Brad House,Closed,Lawrin Novitsky,8/28/2017 16:56
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,8/28/2017 10:42
Adam Majer,,Adam Majer,Closed,Lawrin Novitsky,8/25/2017 15:50
Michal Schorm,,Michal Schorm,Closed,Lawrin Novitsky,8/25/2017 15:48
Michal Schorm,,Michal Schorm,Closed,Lawrin Novitsky,8/25/2017 15:45
Ph. Baumgartner,,Ph. Baumgartner,Closed,Lawrin Novitsky,8/24/2017 14:33
Rahul Dhuvad,,Rahul Dhuvad,Closed,Lawrin Novitsky,8/22/2017 17:35
Nikolay Engyozov,,Nikolay Engyozov,Closed,Lawrin Novitsky,7/31/2017 11:12
kriti suwalka,,kriti suwalka,Open,Lawrin Novitsky,7/31/2017 9:34
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,7/31/2017 0:32
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,7/30/2017 23:42
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,7/30/2017 23:41
ran,,ran,Open,Lawrin Novitsky,6/19/2017 6:57
Rambabu Makireddi,,Rambabu Makireddi,Open,Lawrin Novitsky,5/22/2017 6:35
kriti suwalka,,kriti suwalka,Closed,Lawrin Novitsky,5/21/2017 17:47
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,5/18/2017 19:01
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,5/15/2017 22:00
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,5/15/2017 16:11
Rahul Dhuvad,,Rahul Dhuvad,Closed,Lawrin Novitsky,5/15/2017 16:11
Rahul Dhuvad,,Rahul Dhuvad,Open,Lawrin Novitsky,5/15/2017 16:11
Erik Cederstrand,,Erik Cederstrand,Open,Lawrin Novitsky,5/15/2017 16:11
Lawrin Novitsky,,Lawrin Novitsky,Open,Lawrin Novitsky,5/15/2017 16:11
Chris Clark,,Chris Clark,Closed,Lawrin Novitsky,5/4/2017 16:44
Kolbe Kegel,,Kolbe Kegel,Closed,Lawrin Novitsky,4/28/2017 17:56
Rahul Dhuvad,,Rahul Dhuvad,Open,Lawrin Novitsky,4/10/2017 4:48
kriti suwalka,,kriti suwalka,Closed,Lawrin Novitsky,4/3/2017 19:31
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,3/17/2017 22:46
Lawrin Novitsky,,Lawrin Novitsky,Closed,Lawrin Novitsky,3/17/2017 6:48
Sto Ges.m.b.H. Austria,,Sto Ges.m.b.H. Austria,Closed,Lawrin Novitsky,3/14/2017 15:31
Sto Ges.m.b.H. Austria,,Sto Ges.m.b.H. Austria,Open,Lawrin Novitsky,3/13/2017 12:26
"Su, Jun-Ming",,"Su, Jun-Ming",Closed,Lawrin Novitsky,3/9/2017 14:52
Franz Zeilinger,,Franz Zeilinger,Closed,Lawrin Novitsky,3/6/2017 1:19
Dragoljub Obradovic,,Dragoljub Obradovic,Closed,Lawrin Novitsky,3/2/2017 23:42
Markus,,Markus,Closed,Lawrin Novitsky,2/26/2017 11:59
Arnold Hendriks,,Arnold Hendriks,Closed,Lawrin Novitsky,2/25/2017 20:38
